date,open,high,low,close,volume
2023-10-13 00:00:00+00:00,1539.61,1540.28,1538.37,1538.98,695.7294
2023-10-13 00:05:00+00:00,1538.98,1541.89,1538.82,1541.64,660.6344
2023-10-13 00:10:00+00:00,1541.63,1541.65,1540.07,1541.6,1016.7464
2023-10-13 00:15:00+00:00,1541.6,1544.64,1541.59,1542.59,2825.5087
2023-10-13 00:20:00+00:00,1542.59,1544.23,1542.52,1543.74,1025.6283
2023-10-13 00:25:00+00:00,1543.75,1544.41,1542.03,1544.41,524.6505
2023-10-13 00:30:00+00:00,1544.4,1546.47,1543.78,1545.81,728.0198
2023-10-13 00:35:00+00:00,1545.81,1546.38,1542.85,1543.56,415.6125
2023-10-13 00:40:00+00:00,1543.57,1545.24,1543.31,1543.93,432.0385
2023-10-13 00:45:00+00:00,1543.92,1544.44,1543.68,1543.69,105.8791
2023-10-13 00:50:00+00:00,1543.68,1543.99,1542.98,1543.99,188.633
2023-10-13 00:55:00+00:00,1543.99,1544.94,1543.78,1544.59,261.8135
2023-10-13 01:00:00+00:00,1544.59,1545.81,1544.28,1544.95,357.6289
2023-10-13 01:05:00+00:00,1544.94,1547.58,1544.39,1544.39,1054.8613
2023-10-13 01:10:00+00:00,1544.39,1544.59,1543.65,1544.45,325.6563
2023-10-13 01:15:00+00:00,1544.46,1544.46,1543.28,1543.28,301.0533
2023-10-13 01:20:00+00:00,1543.29,1543.45,1542.39,1542.42,263.3137
2023-10-13 01:25:00+00:00,1542.42,1542.63,1542.0,1542.58,238.0831
2023-10-13 01:30:00+00:00,1542.59,1543.98,1542.13,1543.59,198.1629
2023-10-13 01:35:00+00:00,1543.59,1543.6,1542.44,1542.95,221.8759
2023-10-13 01:40:00+00:00,1542.95,1543.94,1542.88,1543.49,285.1988
2023-10-13 01:45:00+00:00,1543.49,1543.72,1543.23,1543.24,175.4828
2023-10-13 01:50:00+00:00,1543.25,1544.76,1543.24,1544.66,595.6115
2023-10-13 01:55:00+00:00,1544.67,1544.67,1542.83,1543.0,503.1001
2023-10-13 02:00:00+00:00,1543.0,1544.43,1542.99,1543.76,238.9084
2023-10-13 02:05:00+00:00,1543.76,1544.79,1543.18,1543.33,279.8232
2023-10-13 02:10:00+00:00,1543.32,1543.85,1543.08,1543.15,203.3553
2023-10-13 02:15:00+00:00,1543.16,1543.93,1542.92,1542.93,277.107
2023-10-13 02:20:00+00:00,1542.92,1543.49,1542.85,1543.19,197.7707
2023-10-13 02:25:00+00:00,1543.2,1543.49,1542.7,1542.71,151.9937
2023-10-13 02:30:00+00:00,1542.71,1542.78,1541.18,1541.26,551.3731
2023-10-13 02:35:00+00:00,1541.25,1541.68,1540.93,1541.54,689.9394
2023-10-13 02:40:00+00:00,1541.55,1541.92,1541.25,1541.69,119.9008
2023-10-13 02:45:00+00:00,1541.68,1542.64,1541.25,1541.63,489.6094
2023-10-13 02:50:00+00:00,1541.62,1543.19,1541.62,1542.63,209.9878
2023-10-13 02:55:00+00:00,1542.62,1543.18,1542.62,1542.73,262.1076
2023-10-13 03:00:00+00:00,1542.72,1543.2,1542.72,1542.94,266.3687
2023-10-13 03:05:00+00:00,1542.95,1543.11,1541.88,1542.1,323.0081
2023-10-13 03:10:00+00:00,1542.1,1543.01,1541.82,1543.0,365.5394
2023-10-13 03:15:00+00:00,1543.0,1543.01,1541.27,1541.29,575.8747
2023-10-13 03:20:00+00:00,1541.28,1541.98,1541.07,1541.54,383.9135
2023-10-13 03:25:00+00:00,1541.54,1541.54,1540.91,1540.99,545.8585
2023-10-13 03:30:00+00:00,1540.98,1541.39,1540.28,1540.29,580.2331
2023-10-13 03:35:00+00:00,1540.28,1540.29,1538.23,1538.79,876.2659
2023-10-13 03:40:00+00:00,1538.78,1539.63,1538.28,1538.94,328.5566
2023-10-13 03:45:00+00:00,1538.93,1539.11,1538.19,1538.3,285.3531
2023-10-13 03:50:00+00:00,1538.31,1539.15,1538.12,1538.12,268.9744
2023-10-13 03:55:00+00:00,1538.12,1539.18,1538.12,1539.1,210.2391
2023-10-13 04:00:00+00:00,1539.1,1539.34,1538.63,1538.64,360.9717
2023-10-13 04:05:00+00:00,1538.63,1539.89,1538.63,1539.89,239.2293
2023-10-13 04:10:00+00:00,1539.88,1540.26,1539.25,1539.76,354.1379
2023-10-13 04:15:00+00:00,1539.76,1540.72,1539.75,1540.48,289.657
2023-10-13 04:20:00+00:00,1540.48,1541.06,1540.47,1541.06,136.0599
2023-10-13 04:25:00+00:00,1541.05,1541.84,1540.41,1540.58,281.8818
2023-10-13 04:30:00+00:00,1540.59,1541.27,1540.0,1540.9,215.9324
2023-10-13 04:35:00+00:00,1540.9,1540.9,1539.54,1539.55,204.7233
2023-10-13 04:40:00+00:00,1539.55,1540.16,1539.54,1540.15,233.7557
2023-10-13 04:45:00+00:00,1540.15,1541.05,1539.75,1541.04,567.6803
2023-10-13 04:50:00+00:00,1541.04,1541.6,1541.04,1541.18,141.6991
2023-10-13 04:55:00+00:00,1541.19,1542.14,1540.26,1542.14,563.326
2023-10-13 05:00:00+00:00,1542.13,1543.9,1541.9,1543.39,475.6534
2023-10-13 05:05:00+00:00,1543.38,1543.39,1542.13,1542.33,335.1322
2023-10-13 05:10:00+00:00,1542.32,1543.8,1542.08,1543.57,866.0425
2023-10-13 05:15:00+00:00,1543.57,1545.0,1543.33,1543.44,383.6991
2023-10-13 05:20:00+00:00,1543.43,1543.44,1542.37,1542.4,305.6328
2023-10-13 05:25:00+00:00,1542.4,1542.4,1542.15,1542.23,180.0558
2023-10-13 05:30:00+00:00,1542.23,1542.29,1541.96,1542.29,135.848
2023-10-13 05:35:00+00:00,1542.28,1542.29,1540.0,1540.39,2549.5418
2023-10-13 05:40:00+00:00,1540.4,1541.28,1540.39,1540.93,594.7536
2023-10-13 05:45:00+00:00,1540.94,1541.68,1540.93,1541.24,210.9167
2023-10-13 05:50:00+00:00,1541.24,1541.95,1540.41,1540.76,1500.6804
2023-10-13 05:55:00+00:00,1540.76,1541.46,1540.7,1541.25,212.3269
2023-10-13 06:00:00+00:00,1541.26,1541.65,1540.32,1540.33,325.2503
2023-10-13 06:05:00+00:00,1540.33,1540.55,1539.82,1539.98,257.7678
2023-10-13 06:10:00+00:00,1539.98,1540.53,1539.6,1540.52,452.7647
2023-10-13 06:15:00+00:00,1540.52,1540.83,1539.93,1539.93,351.8713
2023-10-13 06:20:00+00:00,1539.93,1540.14,1539.66,1540.13,185.2149
2023-10-13 06:25:00+00:00,1540.14,1540.14,1539.66,1539.66,136.5497
2023-10-13 06:30:00+00:00,1539.67,1539.91,1539.6,1539.61,140.1943
2023-10-13 06:35:00+00:00,1539.61,1541.36,1539.6,1540.96,826.9145
2023-10-13 06:40:00+00:00,1540.96,1542.14,1540.95,1541.41,291.854
2023-10-13 06:45:00+00:00,1541.4,1542.2,1541.4,1541.62,320.9747
2023-10-13 06:50:00+00:00,1541.62,1541.63,1539.71,1539.74,293.677
2023-10-13 06:55:00+00:00,1539.75,1540.45,1539.73,1540.2,478.0981
2023-10-13 07:00:00+00:00,1540.2,1542.1,1540.19,1542.04,212.3237
2023-10-13 07:05:00+00:00,1542.04,1544.35,1541.55,1544.1,432.3237
2023-10-13 07:10:00+00:00,1544.11,1545.45,1543.79,1545.43,570.1831
2023-10-13 07:15:00+00:00,1545.42,1549.85,1544.89,1548.23,2471.4005
2023-10-13 07:20:00+00:00,1548.23,1548.68,1546.42,1546.94,1419.2153
2023-10-13 07:25:00+00:00,1546.94,1548.43,1546.68,1547.78,870.0125
2023-10-13 07:30:00+00:00,1547.78,1554.79,1547.78,1553.32,4130.559
2023-10-13 07:35:00+00:00,1553.32,1553.58,1549.24,1550.53,1828.5978
